tick,time_s,status,ran_steps,cum_steps,reload,mark_reload,temp_K,density_m3,n_ratio,pressure_Pa,shield_hits,shield_reemit
213,12780,1,2500,530000,0,0,0,0,0,0,0,0
214,12840,1,2500,532500,0,0,0,0,0,0,0,0
215,12900,1,2500,535000,0,0,0,0,0,0,0,0
216,12960,1,2500,537500,0,0,0,0,0,0,0,0
217,13020,1,2500,540000,0,0,0,0,0,0,0,0
218,13080,1,2500,542500,0,0,0,0,0,0,0,0
219,13140,1,2500,545000,0,0,0,0,0,0,0,0
220,13200,1,2500,547500,0,0,0,0,0,0,0,0
221,13260,1,2500,550000,0,0,0,0,0,0,0,0
222,13320,1,2500,552500,0,0,0,0,0,0,0,0
223,13380,1,2500,555000,0,0,0,0,0,0,0,0
224,13440,1,2500,557500,0,0,0,0,0,0,0,0
225,13500,1,2500,560000,0,0,0,0,0,0,0,0
226,13560,1,2500,562500,0,0,0,0,0,0,0,0
227,13620,1,2500,565000,0,0,0,0,0,0,0,0
228,13680,1,2500,567500,0,0,0,0,0,0,0,0
229,13740,1,2500,570000,0,0,0,0,0,0,0,0
230,13800,1,2500,572500,0,0,0,0,0,0,0,0
231,13860,1,2500,575000,0,0,0,0,0,0,0,0
232,13920,1,2500,577500,0,0,0,0,0,0,0,0
233,13980,1,2500,580000,0,0,0,0,0,0,0,0
234,14040,1,2500,582500,0,0,0,0,0,0,0,0
235,14100,1,2500,585000,0,0,0,0,0,0,0,0
236,14160,1,2500,587500,0,0,0,0,0,0,0,0
237,14220,1,2500,590000,0,0,0,0,0,0,0,0
238,14280,1,2500,592500,0,0,0,0,0,0,0,0
239,14340,1,2500,595000,0,0,0,0,0,0,0,0
240,14400,1,2500,597500,0,0,0,0,0,0,0,0
241,14460,1,2500,600000,0,0,0,0,0,0,0,0
242,14520,1,2500,602500,0,0,0,0,0,0,0,0
243,14580,1,2500,605000,0,0,0,0,0,0,0,0
244,14640,1,2500,607500,0,0,0,0,0,0,0,0
245,14700,1,2500,610000,0,0,0,0,0,0,0,0
246,14760,1,2500,612500,0,0,0,0,0,0,0,0
247,14820,1,2500,615000,0,0,0,0,0,0,0,0
248,14880,1,2500,617500,0,0,0,0,0,0,0,0
249,14940,1,2500,620000,0,0,0,0,0,0,0,0
250,15000,1,2500,622500,0,0,0,0,0,0,0,0
251,15060,1,2500,625000,0,0,0,0,0,0,0,0
252,15120,1,2500,627500,0,0,0,0,0,0,0,0
253,15180,1,2500,630000,0,0,0,0,0,0,0,0
254,15240,1,2500,632500,0,0,0,0,0,0,0,0
255,15300,1,2500,635000,0,0,0,0,0,0,0,0
256,15360,1,2500,637500,0,0,0,0,0,0,0,0
257,15420,1,2500,640000,0,0,0,0,0,0,0,0
258,15480,1,2500,642500,0,0,0,0,0,0,0,0
259,15540,1,2500,645000,0,0,0,0,0,0,0,0
260,15600,1,2500,647500,0,0,0,0,0,0,0,0
261,15660,1,2500,650000,0,0,0,0,0,0,0,0
262,15720,1,2500,652500,0,0,0,0,0,0,0,0
263,15780,1,2500,655000,0,0,0,0,0,0,0,0
264,15840,1,2500,657500,0,0,0,0,0,0,0,0
265,15900,1,2500,660000,0,0,0,0,0,0,0,0
266,15960,1,2500,662500,0,0,0,0,0,0,0,0
267,16020,1,2500,665000,0,0,0,0,0,0,0,0
268,16080,1,2500,667500,0,0,0,0,0,0,0,0
269,16140,1,2500,670000,0,0,0,0,0,0,0,0
270,16200,1,2500,672500,0,0,0,0,0,0,0,0
271,16260,1,2500,675000,0,0,0,0,0,0,0,0
272,16320,1,2500,677500,0,0,0,0,0,0,0,0
273,16380,1,2500,680000,0,0,0,0,0,0,0,0
274,16440,1,2500,682500,0,0,0,0,0,0,0,0
275,16500,1,2500,685000,0,0,0,0,0,0,0,0
276,16560,1,2500,687500,0,0,0,0,0,0,0,0
277,16620,1,2500,690000,0,0,0,0,0,0,0,0
278,16680,1,2500,692500,0,0,0,0,0,0,0,0
279,16740,1,2500,695000,0,0,0,0,0,0,0,0
280,16800,1,2500,697500,0,0,0,0,0,0,0,0
281,16860,1,2500,700000,0,0,0,0,0,0,0,0
282,16920,1,2500,702500,0,0,0,0,0,0,0,0
283,16980,1,2500,705000,0,0,0,0,0,0,0,0
284,17040,1,2500,707500,0,0,0,0,0,0,0,0
285,17100,1,2500,710000,0,0,0,0,0,0,0,0
286,17160,1,2500,712500,0,0,0,0,0,0,0,0
287,17220,1,2500,715000,0,0,0,0,0,0,0,0
288,17280,1,2500,717500,0,0,0,0,0,0,0,0
289,17340,1,2500,720000,0,0,0,0,0,0,0,0
290,17400,1,2500,722500,0,0,0,0,0,0,0,0
291,17460,1,2500,725000,0,0,0,0,0,0,0,0
292,17520,1,2500,727500,0,0,0,0,0,0,0,0
293,17580,1,2500,730000,0,0,0,0,0,0,0,0
294,17640,1,2500,732500,0,0,0,0,0,0,0,0
295,17700,1,2500,735000,0,0,0,0,0,0,0,0
296,17760,1,2500,737500,0,0,0,0,0,0,0,0
297,17820,1,2500,740000,0,0,0,0,0,0,0,0
298,17880,1,2500,742500,0,0,0,0,0,0,0,0
299,17940,1,2500,745000,0,0,0,0,0,0,0,0
300,18000,1,2500,747500,0,0,0,0,0,0,0,0
301,18060,1,2500,750000,0,0,0,0,0,0,0,0
302,18120,1,2500,752500,0,0,0,0,0,0,0,0
303,18180,1,2500,755000,0,0,0,0,0,0,0,0
304,18240,1,2500,757500,0,0,0,0,0,0,0,0
305,18300,1,2500,760000,0,0,0,0,0,0,0,0
306,18360,1,2500,762500,0,0,0,0,0,0,0,0
307,18420,1,2500,765000,0,0,0,0,0,0,0,0
308,18480,1,2500,767500,0,0,0,0,0,0,0,0
309,18540,1,2500,770000,0,0,0,0,0,0,0,0
310,18600,1,2500,772500,0,0,0,0,0,0,0,0
