tick,time_s,status,available_added,requested,granted,remaining
330,19800,1,0,0,0,0
331,19860,1,0,0,0,0
332,19920,1,0,0,0,0
333,19980,1,0,0,0,0
334,20040,1,0,0,0,0
335,20100,1,0,0,0,0
336,20160,1,0,0,0,0
337,20220,1,0,0,0,0
338,20280,1,0,0,0,0
339,20340,1,0,0,0,0
340,20400,1,0,0,0,0
341,20460,1,0,0,0,0
342,20520,1,0,0,0,0
343,20580,1,0,0,0,0
344,20640,1,0,0,0,0
345,20700,1,0,0,0,0
346,20760,1,0,0,0,0
347,20820,1,0,0,0,0
348,20880,1,0,0,0,0
349,20940,1,0,0,0,0
350,21000,1,0,0,0,0
351,21060,1,0,0,0,0
352,21120,1,0,0,0,0
353,21180,1,878.454,0,0,878.454
354,21240,1,935.136,0,0,935.136
355,21300,1,991.438,0,0,991.438
356,21360,1,1047.11,0,0,1047.11
357,21420,1,1101.9,0,0,1101.9
358,21480,1,1155.56,0,0,1155.56
359,21540,1,1207.87,0,0,1207.87
360,21600,1,1258.57,0,0,1258.57
361,21660,1,1307.45,0,0,1307.45
362,21720,1,1354.28,0,0,1354.28
363,21780,1,1398.87,0,0,1398.87
364,21840,1,1441,0,0,1441
365,21900,1,1480.49,0,0,1480.49
366,21960,1,1517.17,0,0,1517.17
367,22020,1,1550.87,0,0,1550.87
368,22080,1,1581.43,0,0,1581.43
369,22140,1,1608.74,0,0,1608.74
370,22200,1,1632.65,0,0,1632.65
371,22260,1,1653.07,0,0,1653.07
372,22320,1,1669.9,0,0,1669.9
373,22380,1,1683.07,0,0,1683.07
374,22440,1,1692.52,0,0,1692.52
375,22500,1,1698.2,1236,1236,462.202
376,22560,1,1700.1,1241,1241,464.1
377,22620,1,1698.2,1241,1241,462.202
378,22680,1,1692.52,1241,1241,456.515
379,22740,1,1683.07,1241,1241,447.066
380,22800,1,1669.9,1241,1241,433.897
381,22860,1,1653.07,1241,1241,417.066
382,22920,1,1632.65,1241,1241,396.648
383,22980,1,1608.74,1241,1241,372.736
384,23040,1,1581.43,1241,1241,345.434
385,23100,1,1550.87,1241,1241,314.867
386,23160,1,1517.17,1241,1241,281.169
387,23220,1,1480.49,1241,1241,244.491
388,23280,1,1441,1241,1241,204.998
389,23340,1,1398.87,1241,1241,162.866
390,23400,1,1354.28,1241,1241,118.282
391,23460,1,1307.45,1241,1241,71.4469
392,23520,1,1258.57,1241,1241,22.5685
393,23580,1,1207.87,1241,1241,0
394,23640,1,1155.56,1241,1241,0
395,23700,1,1101.9,1241,1241,0
396,23760,1,1047.11,1241,1241,0
397,23820,1,991.438,1241,1241,0
398,23880,1,935.136,1241,1241,0
399,23940,1,878.454,1241,1241,0
400,24000,1,0,1241,1241,0
401,24060,1,0,1241,1241,0
402,24120,1,0,5,5,0
403,24180,1,0,0,0,0
404,24240,1,0,0,0,0
405,24300,1,0,0,0,0
406,24360,1,0,0,0,0
407,24420,1,0,0,0,0
408,24480,1,0,0,0,0
409,24540,1,0,0,0,0
410,24600,1,0,0,0,0
411,24660,1,0,0,0,0
412,24720,1,0,0,0,0
413,24780,1,0,0,0,0
414,24840,1,0,0,0,0
415,24900,1,0,0,0,0
416,24960,1,0,0,0,0
417,25020,1,0,0,0,0
418,25080,1,0,0,0,0
419,25140,1,0,0,0,0
420,25200,1,0,0,0,0
421,25260,1,0,0,0,0
422,25320,1,0,0,0,0
423,25380,1,0,0,0,0
424,25440,1,0,0,0,0
425,25500,1,0,0,0,0
426,25560,1,0,0,0,0
427,25620,1,0,0,0,0
428,25680,1,0,0,0,0
429,25740,1,0,0,0,0
430,25800,1,0,0,0,0
431,25860,1,0,0,0,0
432,25920,1,0,0,0,0
433,25980,1,0,0,0,0
434,26040,1,0,0,0,0
435,26100,1,0,0,0,0
436,26160,1,0,0,0,0
437,26220,1,0,0,0,0
438,26280,1,0,0,0,0
439,26340,1,0,0,0,0
440,26400,1,0,0,0,0
441,26460,1,0,0,0,0
442,26520,1,0,0,0,0
443,26580,1,0,0,0,0
444,26640,1,0,0,0,0
445,26700,1,0,0,0,0
446,26760,1,0,0,0,0
447,26820,1,878.454,0,0,878.454
448,26880,1,935.136,0,0,935.136
449,26940,1,991.438,0,0,991.438
450,27000,1,1047.11,0,0,1047.11
451,27060,1,1101.9,0,0,1101.9
452,27120,1,1155.56,0,0,1155.56
453,27180,1,1207.87,0,0,1207.87
454,27240,1,1258.57,0,0,1258.57
455,27300,1,1307.45,0,0,1307.45
456,27360,1,1354.28,0,0,1354.28
457,27420,1,1398.87,0,0,1398.87
458,27480,1,1441,0,0,1441
459,27540,1,1480.49,0,0,1480.49
460,27600,1,1517.17,0,0,1517.17
461,27660,1,1550.87,0,0,1550.87
462,27720,1,1581.43,0,0,1581.43
463,27780,1,1608.74,0,0,1608.74
464,27840,1,1632.65,0,0,1632.65
465,27900,1,1653.07,1644,1644,9.06596
466,27960,1,1669.9,1649,1649,25.897
467,28020,1,1683.07,1649,1649,39.0664
468,28080,1,1692.52,1649,1649,48.5154
469,28140,1,1698.2,1649,1649,54.2017
470,28200,1,1700.1,1649,1649,56.1
471,28260,1,1698.2,1649,1649,54.2017
472,28320,1,1692.52,1649,1649,48.5154
473,28380,1,1683.07,1649,1649,39.0664
474,28440,1,1669.9,1649,1649,25.897
475,28500,1,1653.07,1649,1649,9.06596
476,28560,1,1632.65,1649,1649,0
477,28620,1,1608.74,1649,1649,0
478,28680,1,1581.43,1649,1649,0
479,28740,1,1550.87,1649,1649,0
480,28800,1,1517.17,1649,1649,0
